base_a,base_b,display_name,overlay_a,overlay_b
light,light,晴天,weather_light,weather_light
light,water,太阳雨,weather_light,weather_water
light,sand,热尘晴,weather_light,weather_sand
light,wind,暖风,weather_light,weather_wind
light,thunder,晴雷,weather_light,weather_thunder
light,snow,晴雪,weather_light,weather_snow
water,water,暴雨,weather_water,weather_water
water,sand,泥雨,weather_water,weather_sand
water,wind,风雨,weather_water,weather_wind
water,thunder,雷雨,weather_water,weather_thunder
water,snow,冻雨,weather_water,weather_snow
sand,sand,沙暴,weather_sand,weather_sand
sand,wind,风沙,weather_sand,weather_wind
sand,thunder,雷沙暴,weather_sand,weather_thunder
sand,snow,沙雪,weather_sand,weather_snow
wind,wind,狂风,weather_wind,weather_wind
wind,thunder,雷暴,weather_wind,weather_thunder
wind,snow,暴风雪,weather_wind,weather_snow
thunder,thunder,强雷,weather_thunder,weather_thunder
thunder,snow,雷雪,weather_thunder,weather_snow
snow,snow,大雪,weather_snow,weather_snow
